 event_type_id,title,details,start,end,time
2,Saturday,weekend,1/4/2014,1/4/2014,fullday
2,Sunday,weekend,1/5/2014,1/5/2014,fullday
2,Saturday,weekend,1/11/2014,1/11/2014,fullday
2,Sunday,weekend,1/12/2014,1/12/2014,fullday
1,Duruthu,poya day,1/15/2014,1/15/2014,fullday
2,Saturday,weekend,1/18/2014,1/18/2014,fullday
2,Sunday,weekend,1/19/2014,1/19/2014,fullday
2,Saturday,weekend,1/25/2014,1/25/2014,fullday
2,Sunday,weekend,1/26/2014,1/26/2014,fullday
2,Saturday,weekend,2/1/2014,2/1/2014,fullday
2,Sunday,weekend,2/2/2014,2/2/2014,fullday
3,National Day,public holiday,2/4/2014,2/4/2014,fullday
2,Saturday,weekend,2/8/2014,2/8/2014,fullday
2,Sunday,weekend,2/9/2014,2/9/2014,fullday
1,Nawam,poya day,2/14/2014,2/14/2014,fullday
2,Saturday,weekend,2/15/2014,2/15/2014,fullday
2,Sunday,weekend,2/16/2014,2/16/2014,fullday
2,Saturday,weekend,2/22/2014,2/22/2014,fullday
2,Sunday,weekend,2/23/2014,2/23/2014,fullday
2,Saturday,weekend,3/1/2014,3/1/2014,fullday
2,Sunday,weekend,3/2/2014,3/2/2014,fullday
2,Saturday,weekend,3/8/2014,3/8/2014,fullday
2,Sunday,weekend,3/9/2014,3/9/2014,fullday
2,Saturday,weekend,3/15/2014,3/15/2014,fullday
2,Sunday,weekend,3/16/2014,3/16/2014,fullday
2,Saturday,weekend,3/22/2014,3/22/2014,fullday
2,Sunday,weekend,3/23/2014,3/23/2014,fullday
2,Saturday,weekend,3/29/2014,3/29/2014,fullday
2,Sunday,weekend,3/30/2014,3/30/2014,fullday
2,Saturday,weekend,4/5/2014,4/5/2014,fullday
2,Sunday,weekend,4/6/2014,4/6/2014,fullday
2,Saturday,weekend,4/12/2014,4/12/2014,fullday
3,Day Prior to Sinhala & Tamil New Year Day,public holiday,4/13/2014,4/13/2014,fullday
3,Sinhala & Tamil New Year Day,public holiday,4/14/2014,4/14/2014,fullday
2,Saturday,weekend,4/19/2014,4/19/2014,fullday
2,Sunday,weekend,4/20/2014,4/20/2014,fullday
2,Saturday,weekend,4/26/2014,4/26/2014,fullday
2,Sunday,weekend,4/27/2014,4/27/2014,fullday
